dataset_2d,processors,seq_time,par_time,speedup,efficiency
bodies_2d_10,2,5.5e-05,0.000133,0.41353383458646614,0.20676691729323307
bodies_2d_10,3,5.5e-05,0.000439,0.1252847380410023,0.04176157934700076
bodies_2d_10,4,5.5e-05,0.000279,0.1971326164874552,0.0492831541218638
bodies_2d_10,5,5.5e-05,0.000261,0.210727969348659,0.0421455938697318
bodies_2d_10,6,5.5e-05,0.000333,0.16516516516516516,0.027527527527527528
bodies_2d_10,7,5.5e-05,0.00032,0.171875,0.024553571428571428
bodies_2d_10,8,5.5e-05,0.000381,0.14435695538057744,0.01804461942257218
bodies_2d_100,2,0.004954,0.002883,1.7183489420742282,0.8591744710371141
bodies_2d_100,3,0.004954,0.002197,2.2548930359581245,0.7516310119860415
bodies_2d_100,4,0.004954,0.001787,2.7722439843312814,0.6930609960828203
bodies_2d_100,5,0.004954,0.002394,2.0693400167084377,0.41386800334168755
bodies_2d_100,6,0.004954,0.002992,1.6557486631016043,0.27595811051693403
bodies_2d_100,7,0.004954,0.00277,1.788447653429603,0.25549252191851474
bodies_2d_100,8,0.004954,0.002183,2.2693540998625745,0.2836692624828218
bodies_2d_500,2,0.12158,0.07288,1.6682217343578485,0.8341108671789242
bodies_2d_500,3,0.12158,0.049527,2.4548226220041593,0.8182742073347198
bodies_2d_500,4,0.12158,0.040363,3.012164606198746,0.7530411515496865
bodies_2d_500,5,0.12158,0.051987,2.3386615884740416,0.46773231769480833
bodies_2d_500,6,0.12158,0.045947,2.6460922367075104,0.4410153727845851
bodies_2d_500,7,0.12158,0.03994,3.0440660991487225,0.43486658559267466
bodies_2d_500,8,0.12158,0.037023,3.2839045998433405,0.41048807498041756
bodies_2d_1000,2,0.489263,0.290575,1.6837752731652755,0.8418876365826378
bodies_2d_1000,3,0.489263,0.194562,2.5146894049197686,0.8382298016399229
bodies_2d_1000,4,0.489263,0.176559,2.771102011225709,0.6927755028064273
bodies_2d_1000,5,0.489263,0.151245,3.2349036331779564,0.6469807266355913
bodies_2d_1000,6,0.489263,0.12709,3.849736407270438,0.641622734545073
bodies_2d_1000,7,0.489263,0.147329,3.320887265915061,0.4744124665592944
bodies_2d_1000,8,0.489263,0.134824,3.6289013825431673,0.4536126728178959
bodies_2d_2000,2,1.981152,1.074443,1.8438874840266073,0.9219437420133036
bodies_2d_2000,3,1.981152,0.809544,2.447244374610892,0.8157481248702974
bodies_2d_2000,4,1.981152,0.790104,2.507457246134686,0.6268643115336715
bodies_2d_2000,5,1.981152,0.706057,2.8059377642314995,0.5611875528463
bodies_2d_2000,6,1.981152,0.632434,3.1325830047087915,0.5220971674514653
bodies_2d_2000,7,1.981152,0.596595,3.32076534332336,0.4743950490461943
bodies_2d_2000,8,1.981152,0.529798,3.7394478650353533,0.46743098312941916
bodies_2d_3000,2,4.425069,2.531444,1.7480414340589796,0.8740207170294898
bodies_2d_3000,3,4.425069,1.704148,2.5966459485913194,0.8655486495304398
bodies_2d_3000,4,4.425069,1.415506,3.1261393452235455,0.7815348363058864
bodies_2d_3000,5,4.425069,1.302782,3.3966304416241546,0.6793260883248309
bodies_2d_3000,6,4.425069,1.272918,3.476318977341824,0.5793864962236374
bodies_2d_3000,7,4.425069,1.249223,3.5422570669928426,0.5060367238561204
bodies_2d_3000,8,4.425069,1.169482,3.7837854708323855,0.4729731838540482
bodies_2d_5000,2,12.37661,7.140819,1.7332199569825255,0.8666099784912628
bodies_2d_5000,3,12.37661,4.980445,2.4850409953327466,0.8283469984442489
bodies_2d_5000,4,12.37661,4.306807,2.873732210428747,0.7184330526071867
bodies_2d_5000,5,12.37661,4.056644,3.0509480250177234,0.6101896050035447
bodies_2d_5000,6,12.37661,3.816685,3.2427643360665077,0.5404607226777512
bodies_2d_5000,7,12.37661,3.549105,3.4872481935586577,0.49817831336552254
bodies_2d_5000,8,12.37661,3.304256,3.7456571161556487,0.4682071395194561
bodies_2d_10000,2,50.30043,27.957519,1.7991735961978599,0.8995867980989299
bodies_2d_10000,3,50.30043,20.829104,2.4149108862291913,0.8049702954097304
bodies_2d_10000,4,50.30043,18.222878,2.7602901144374665,0.6900725286093666
bodies_2d_10000,5,50.30043,16.738791,3.005021688842402,0.6010043377684804
bodies_2d_10000,6,50.30043,15.163272,3.3172543498527234,0.5528757249754539
bodies_2d_10000,7,50.30043,13.809675,3.642405052979161,0.520343578997023
bodies_2d_10000,8,50.30043,13.24898,3.796551130728554,0.4745688913410693
