Read 500 bodies from file dataset_2d/bodies_2d_500.csv

Using Euler integration method

Initial state:
ID	Mass		Pos_X		Pos_Y		Vel_X		Vel_Y
---------------------------------------------------------------
0	93.33		23.99		74.70		3.77		-9.99
1	51.84		62.37		35.15		-1.07		3.32
2	14.15		-90.29		23.52		9.96		-9.20
3	46.79		30.51		-26.17		-9.47		-2.60
4	63.75		-92.03		-99.80		5.36		-3.28
5	34.09		68.51		-78.52		0.82		-7.90
6	11.30		-43.49		39.07		2.65		7.22
7	1.59		-85.06		45.36		-1.42		3.46
8	67.80		58.71		37.84		4.47		4.82
9	34.13		-41.84		51.83		-7.70		5.55
10	34.56		34.32		57.84		5.93		-6.99
11	69.67		77.75		97.97		-9.42		-6.94
12	90.56		-39.12		79.06		-2.61		-0.57
13	8.73		60.64		95.11		-8.96		3.87
14	13.07		76.91		-87.46		-9.00		7.99
15	59.09		43.61		16.71		3.07		6.07
16	94.09		34.57		-41.12		-7.56		-5.00
17	6.65		-60.97		15.14		2.18		-9.69
18	41.74		11.95		-39.61		8.96		3.00
19	95.21		86.01		28.62		8.73		2.09
20	3.57		-82.18		80.89		5.89		8.74
21	5.67		-35.48		68.84		5.13		-2.88
22	97.97		64.58		88.93		-5.93		-8.96
23	16.05		-54.37		92.03		-1.96		-2.80
24	39.38		-47.31		-98.00		4.61		-1.58
25	48.11		38.49		-73.67		4.60		-5.65
26	4.18		0.81		-47.06		-8.27		8.00
27	34.02		-11.22		19.92		7.63		-9.50
28	65.88		-45.87		85.50		-6.56		0.16
29	30.07		-47.08		-65.39		-1.18		-8.19
30	3.91		-36.56		-9.36		-9.40		-4.04
31	87.84		90.12		-12.78		6.02		4.97
32	56.54		43.73		15.68		7.59		0.84
33	95.93		-27.48		33.83		0.21		6.56
34	2.19		71.15		15.46		9.49		-2.24
35	83.95		-33.06		78.66		-5.26		-6.68
36	35.42		84.61		50.56		2.14		-4.32
37	88.20		-17.45		-28.17		4.13		3.78
38	43.38		-45.07		34.77		5.85		-5.51
39	2.54		-7.36		-91.43		-8.22		-4.57
40	44.42		-43.69		9.89		-7.19		4.13
41	50.66		-71.29		-95.33		0.35		5.53
42	83.35		-45.81		-69.49		6.13		5.88
43	4.87		-9.07		47.64		0.24		7.81
44	57.41		-14.77		-74.09		-3.09		8.18
45	16.49		36.52		25.58		4.91		-6.46
46	20.83		37.12		42.11		6.38		4.84
47	5.15		-79.93		-40.20		-3.38		-1.14
48	85.68		51.98		-83.93		-6.77		-8.85
49	89.67		5.90		64.85		-1.10		0.76
50	55.56		65.09		11.75		4.67		7.53
51	89.39		-29.91		59.72		9.89		6.27
52	59.63		-14.82		-80.60		-5.59		3.68
53	48.33		10.29		92.66		-9.14		0.89
54	37.80		-16.07		-88.24		-5.48		-6.87
55	43.01		61.01		92.62		-9.33		-4.80
56	3.71		58.43		-86.81		9.08		-7.91
57	78.61		35.89		-33.26		6.98		-2.34
58	12.83		82.00		-5.71		-6.69		0.20
59	62.87		90.80		-81.46		9.33		-6.57
60	34.44		33.09		-5.54		-3.58		-9.08
61	47.79		50.35		23.78		0.58		7.34
62	3.85		62.70		-66.43		1.99		9.10
63	12.77		-98.04		-44.66		8.75		5.42
64	20.62		-60.63		50.78		-0.41		0.36
65	44.31		-31.79		-40.35		-6.54		1.22
66	45.99		-70.34		23.13		-1.47		-5.44
67	89.76		69.69		-35.43		2.07		3.66
68	67.73		-86.32		23.77		1.91		-1.24
69	14.19		96.71		-7.23		-6.12		1.61
70	30.90		-15.88		-67.53		-7.68		-8.89
71	8.23		-85.51		-5.52		6.20		0.36
72	86.33		-32.90		-77.41		9.09		-5.55
73	38.12		-43.29		-85.63		-0.38		7.46
74	53.60		73.56		-19.45		5.27		0.49
75	67.54		-9.79		-10.49		-0.18		-8.41
76	88.14		-10.57		-23.54		7.86		7.42
77	97.87		38.10		-8.15		-4.94		3.25
78	70.49		22.54		-85.87		5.99		2.84
79	38.82		-19.55		-64.39		6.21		3.27
80	68.54		6.91		27.96		9.23		-8.63
81	62.72		17.03		26.00		2.76		2.66
82	99.50		81.99		-21.09		1.47		-7.63
83	10.55		85.99		-23.52		9.76		-9.77
84	28.10		-89.87		31.45		5.51		-1.11
85	45.36		-5.18		44.72		-7.34		0.86
86	17.93		-86.12		-82.27		5.12		-2.98
87	38.05		60.77		-5.31		7.79		3.09
88	80.06		-92.14		45.55		-4.70		2.64
89	52.42		4.37		-6.03		3.27		8.61
90	29.15		13.51		77.46		0.75		1.11
91	81.63		22.91		-18.03		-5.78		-0.85
92	23.94		-14.07		-0.41		-4.13		4.99
93	26.83		78.72		72.20		-1.87		-9.10
94	6.85		80.27		-42.85		-5.64		8.28
95	83.48		49.06		67.19		-0.26		-4.20
96	47.92		-73.25		78.09		8.78		-3.23
97	40.26		26.60		27.73		-5.06		-0.22
98	77.42		72.49		19.75		-6.31		1.01
99	69.47		99.86		91.34		-1.54		4.93
100	44.00		-46.15		29.86		-1.21		4.29
101	73.23		17.43		85.12		-9.23		-2.43
102	6.81		13.43		-4.93		-6.58		-4.53
103	51.77		7.90		51.46		-8.41		9.34
104	25.07		24.25		9.24		-3.61		-2.86
105	29.64		17.83		26.11		-3.27		-8.03
106	86.67		-62.96		11.62		7.81		-0.49
107	75.81		-15.39		-45.65		2.85		-9.82
108	40.01		52.57		92.64		0.93		-4.44
109	36.01		-29.06		-81.42		0.08		6.37
110	54.52		35.30		92.89		1.30		-4.08
111	36.55		2.02		57.24		-7.79		-2.13
112	49.44		1.73		27.11		5.16		4.86
113	59.47		-67.70		-78.68		2.00		5.01
114	51.70		-53.26		60.08		3.04		6.28
115	50.42		39.35		6.18		9.95		-1.24
116	56.35		80.30		35.33		6.67		-8.58
117	74.35		30.16		-74.61		8.18		9.73
118	58.63		36.12		98.51		-8.48		1.08
119	69.86		-89.18		99.62		-6.95		2.81
120	79.09		85.34		42.19		-4.95		-5.86
121	2.23		73.79		43.16		-3.02		7.07
122	63.23		40.90		98.79		-2.41		6.28
123	6.88		70.84		41.79		-9.88		-5.35
124	54.53		86.91		65.89		4.52		-3.57
125	7.08		-80.54		40.19		5.20		8.14
126	88.19		61.64		-39.90		-4.24		-7.40
127	82.77		-68.65		38.19		-6.29		-9.91
128	95.32		17.69		45.69		-7.52		-1.19
129	44.47		67.98		-97.37		0.54		6.55
130	36.19		-60.67		-21.69		4.86		1.44
131	23.50		-26.16		28.90		-6.28		-9.86
132	81.27		-99.98		3.87		-4.73		-6.00
133	69.61		56.65		-45.56		-0.24		2.86
134	24.53		59.00		-36.92		1.14		-0.20
135	65.64		-45.02		41.45		-3.37		8.17
136	19.05		1.26		-45.18		2.49		-5.42
137	88.58		52.44		68.74		1.95		1.48
138	11.81		-78.74		74.14		3.07		-1.88
139	95.59		-86.04		-80.28		2.38		-1.18
140	79.18		-14.01		-51.41		2.32		6.75
141	58.04		59.52		93.42		7.44		0.08
142	82.42		-60.51		39.58		-1.72		-3.40
143	81.25		-16.64		-38.20		-2.19		6.93
144	87.14		93.39		-12.28		5.87		-6.74
145	60.12		-29.68		-33.94		7.98		-5.28
146	53.99		-19.68		41.87		3.17		1.80
147	4.67		48.01		-68.05		5.69		-9.06
148	68.22		-42.84		-95.59		7.05		8.95
149	3.23		-97.44		52.96		5.64		2.38
150	85.43		65.13		14.04		1.76		2.39
151	1.70		-58.18		1.87		7.93		-0.32
152	39.95		-23.44		-63.34		-3.93		-6.70
153	6.61		43.29		97.24		-7.33		1.55
154	97.86		-45.87		-94.67		2.01		-4.09
155	47.48		-71.30		36.95		1.79		7.05
156	7.34		-35.04		23.38		3.54		4.16
157	51.46		53.43		-96.40		-4.83		7.97
158	7.19		-6.80		-53.61		1.60		-2.40
159	32.47		-72.76		-54.49		-1.50		-4.00
160	43.90		-82.58		-81.07		2.12		1.19
161	39.25		-82.09		77.12		-8.68		-3.06
162	13.03		79.75		-11.02		1.13		-4.59
163	88.62		20.61		-93.78		6.33		-6.43
164	73.99		-38.76		-59.32		-7.80		-8.36
