dataset,processors,seq_time,par_time,speedup,efficiency
bodies_10,2,5.9e-05,0.000392,0.15051020408163265,0.07525510204081633
bodies_10,3,5.9e-05,0.000412,0.14320388349514562,0.047734627831715205
bodies_10,4,5.9e-05,0.000843,0.06998813760379596,0.01749703440094899
bodies_10,5,5.9e-05,0.000963,0.061266874350986496,0.012253374870197299
bodies_10,6,5.9e-05,0.001065,0.05539906103286385,0.009233176838810642
bodies_10,7,5.9e-05,0.001753,0.03365658870507701,0.004808084100725287
bodies_10,8,5.9e-05,0.001542,0.03826199740596627,0.004782749675745784
bodies_100,2,0.002099,0.006145,0.34157851912123677,0.17078925956061838
bodies_100,3,0.002099,0.00574,0.3656794425087108,0.1218931475029036
bodies_100,4,0.002099,0.005526,0.37984075280492224,0.09496018820123056
bodies_100,5,0.002099,0.00631,0.3326465927099842,0.06652931854199684
bodies_100,6,0.002099,0.008019,0.2617533358274099,0.043625555971234985
bodies_100,7,0.002099,0.006419,0.3269979747624241,0.046713996394632015
bodies_100,8,0.002099,0.006244,0.3361627162075593,0.04202033952594491
bodies_500,2,0.041286,0.049723,0.8303199726484726,0.4151599863242363
bodies_500,3,0.041286,0.041056,1.0056021044427124,0.33520070148090414
bodies_500,4,0.041286,0.039915,1.0343479894776402,0.25858699736941004
bodies_500,5,0.041286,0.039489,1.045506343538707,0.20910126870774143
bodies_500,6,0.041286,0.045126,0.9149049328546737,0.15248415547577895
bodies_500,7,0.041286,0.054789,0.753545419701035,0.10764934567157643
bodies_500,8,0.041286,0.053866,0.7664575056621988,0.09580718820777485
bodies_1000,2,0.164469,0.149607,1.0993402715113598,0.5496701357556799
bodies_1000,3,0.164469,0.179156,0.9180211659112728,0.3060070553037576
bodies_1000,4,0.164469,0.140317,1.1721245465624266,0.29303113664060665
bodies_1000,5,0.164469,0.112157,1.466417611027399,0.2932835222054798
bodies_1000,6,0.164469,0.145526,1.1301691793906246,0.18836152989843744
bodies_1000,7,0.164469,0.137998,1.191821620603197,0.17026023151474243
bodies_1000,8,0.164469,0.138112,1.1908378707136236,0.14885473383920295
bodies_2000,2,0.670091,0.496704,1.3490751030795,0.67453755153975
bodies_2000,3,0.670091,0.466616,1.4360652013647197,0.47868840045490657
bodies_2000,4,0.670091,0.445546,1.5039771426519373,0.3759942856629843
bodies_2000,5,0.670091,0.406162,1.6498121439228681,0.3299624287845736
bodies_2000,6,0.670091,0.421235,1.590777119660047,0.26512951994334116
bodies_2000,7,0.670091,0.330192,2.0293980471967825,0.2899140067423975
bodies_2000,8,0.670091,0.370931,1.8065111840207477,0.22581389800259347
bodies_3000,2,1.481719,1.104864,1.341087228835404,0.670543614417702
bodies_3000,3,1.481719,0.923309,1.604792111849879,0.5349307039499597
bodies_3000,4,1.481719,0.844093,1.755397805692027,0.43884945142300674
bodies_3000,5,1.481719,0.740919,1.9998393886511212,0.39996787773022424
bodies_3000,6,1.481719,0.842433,1.7588567874240444,0.2931427979040074
bodies_3000,7,1.481719,0.737702,2.0085603671943413,0.28693719531347733
bodies_3000,8,1.481719,0.711352,2.0829617404604193,0.2603702175575524
bodies_5000,2,4.13489,2.685148,1.5399113940833058,0.7699556970416529
bodies_5000,3,4.13489,2.302992,1.7954426242036448,0.5984808747345483
bodies_5000,4,4.13489,1.989982,2.077852965504211,0.5194632413760527
bodies_5000,5,4.13489,2.011585,2.055538294429517,0.4111076588859034
bodies_5000,6,4.13489,1.993089,2.0746138280829407,0.3457689713471568
bodies_5000,7,4.13489,1.884482,2.194178559413144,0.3134540799161635
bodies_5000,8,4.13489,1.792351,2.3069644282844153,0.2883705535355519
bodies_10000,2,16.677772,11.613657,1.4360482662782275,0.7180241331391137
bodies_10000,3,16.677772,9.006463,1.8517560112110605,0.6172520037370202
bodies_10000,4,16.677772,7.807598,2.136095121700682,0.5340237804251705
bodies_10000,5,16.677772,7.600617,2.1942655444946118,0.4388531088989224
bodies_10000,6,16.677772,7.175149,2.3243798839578105,0.38739664732630175
bodies_10000,7,16.677772,6.854777,2.4330145240319268,0.34757350343313237
bodies_10000,8,16.677772,6.440906,2.5893518706840313,0.3236689838355039
