Read 1000 bodies from file dataset/bodies_1000.csv
Using 5 MPI processes

Initial state:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
-----------------------------------------------------------------------------------------
0	32.70		42.95		21.77		-69.44		6.61		-4.92		6.39
1	99.68		-21.90		-50.61		-95.96		1.17		1.55		-3.14
2	14.18		-8.03		-86.99		-24.32		7.13		-9.24		-8.62
3	63.73		10.15		79.38		23.08		7.18		5.21		-8.70
4	13.44		-68.25		51.47		-4.15		4.95		-4.42		-5.08
5	13.12		-13.30		91.18		-52.08		8.14		-7.41		-5.26
6	16.36		-91.53		75.58		-5.85		-5.41		-0.87		-4.71
7	23.74		-62.36		-63.03		40.66		-9.31		-7.28		7.96
8	72.62		-75.34		-68.19		-39.10		-5.45		7.08		-6.07
9	18.19		-47.83		-43.73		-20.86		-7.66		-4.55		4.48
10	88.06		-60.15		69.71		77.35		0.60		7.12		5.09
11	92.15		-47.65		48.25		74.58		-0.84		4.54		1.46
12	72.55		-58.35		2.16		91.31		-0.76		6.02		9.40
13	77.64		-85.88		-30.69		-37.88		-8.11		3.67		-2.80
14	43.33		-41.48		-73.37		96.71		-6.01		0.85		-5.41
15	51.49		49.97		-13.88		79.23		8.36		1.55		-9.75
16	75.52		-11.33		1.26		-53.76		3.82		-2.30		0.98
17	31.28		1.58		-74.77		49.15		-3.30		-1.61		4.87
18	94.42		81.09		59.57		22.09		-5.12		8.28		-0.95
19	52.73		-91.82		58.21		-88.60		7.48		6.90		-3.43
20	65.48		-85.15		71.51		2.39		-7.27		-2.15		8.37
21	22.94		98.41		73.32		-52.14		-3.83		7.81		4.28
22	55.02		-11.29		-27.46		93.23		-5.90		-9.92		-6.61
23	41.06		2.36		3.79		-27.15		-5.00		-6.82		-9.84
24	52.88		21.26		-61.19		83.19		1.78		-4.15		2.37
25	82.18		-73.54		89.48		-47.64		-5.91		-6.38		-9.50
26	32.83		98.49		-30.93		42.90		4.88		1.81		-3.75
27	25.46		-22.75		80.02		-54.53		8.09		4.51		-8.78
28	29.10		0.48		-2.46		23.62		-9.90		-0.80		-0.69
29	89.26		53.81		-44.81		-55.59		-9.23		9.68		7.97
30	74.92		92.21		-39.00		-35.93		0.94		-4.09		0.32
31	39.23		80.28		78.75		-75.78		-3.64		-8.40		-0.64
32	27.29		5.70		-64.89		-69.35		9.46		9.05		-3.79
33	66.37		-23.72		-66.93		-39.65		3.73		5.55		-8.93
34	4.54		-63.16		-5.15		-30.92		-8.60		7.21		-9.19
35	94.06		-82.53		81.89		3.20		-4.55		-3.12		-5.82
36	91.96		77.27		39.73		5.93		7.00		9.15		8.36
37	52.32		-99.23		0.18		-31.59		-7.73		-0.31		4.99
38	15.77		49.78		80.13		-79.04		-6.65		7.51		1.76
39	87.08		-5.92		27.99		88.66		7.53		5.81		1.66
40	12.92		-96.73		-73.03		25.05		-0.40		3.50		-4.87
41	13.00		61.62		91.94		-0.83		-3.61		-9.08		4.20
42	56.16		48.31		-51.26		61.04		3.82		5.49		0.59
43	61.75		-68.85		-74.08		72.12		-3.41		6.92		4.67
44	97.70		-58.75		-82.27		-15.08		-9.99		3.16		-2.57
45	44.58		77.69		-71.37		78.16		-5.78		1.08		-9.34
46	70.51		-63.23		98.13		-47.68		3.26		6.34		-6.93
47	58.61		-80.41		-71.46		68.70		4.28		-2.65		-2.94
48	91.33		67.27		0.11		-42.82		-5.69		6.01		-5.18
49	83.21		-26.71		-44.42		-67.97		1.54		-9.41		-3.45
50	71.70		-2.22		-2.15		-13.13		-5.52		-9.00		-2.44
51	2.99		-6.76		-20.41		37.14		-1.88		7.31		-3.13
52	78.02		-30.21		-22.93		-73.49		1.07		-5.19		7.21
53	81.12		-30.74		-8.04		22.42		1.36		8.80		3.84
54	46.58		50.01		-81.44		14.44		-7.87		8.82		2.39
55	17.54		-65.41		-46.29		-6.38		7.76		-7.56		-8.54
56	31.55		-2.37		50.26		47.99		3.83		-7.64		2.75
57	51.13		-53.88		-97.20		-2.89		-5.45		6.52		-0.55
58	92.56		90.35		-51.74		-2.36		-7.31		-0.38		3.67
59	41.03		28.94		28.60		10.57		-1.53		-5.62		9.06
60	25.24		-50.73		60.69		-22.07		3.78		4.59		1.03
61	83.92		37.75		-27.40		24.54		5.15		8.65		3.04
62	72.38		36.88		36.90		-21.80		-0.57		0.16		-0.48
63	32.79		75.49		-46.23		49.65		1.30		-0.79		-2.06
64	96.91		35.96		-90.28		71.77		3.50		2.68		-7.19
65	19.26		-81.42		-21.20		-64.25		5.17		7.73		-6.72
66	12.65		-80.57		-79.25		-0.90		8.23		-5.29		9.71
67	45.46		90.34		43.49		-89.47		3.64		-0.37		-6.93
68	23.59		64.80		60.14		-16.29		-6.10		-2.40		1.34
69	4.62		6.78		96.24		22.63		0.37		-3.03		5.83
70	79.50		2.78		-92.63		-75.27		6.44		7.27		2.94
71	51.52		-72.60		-48.28		79.91		-5.25		7.23		4.79
72	49.03		65.51		66.40		69.78		-2.52		0.43		3.37
73	42.95		89.26		-91.00		20.59		6.44		-6.58		2.13
74	73.89		99.09		50.25		95.39		-3.36		5.31		5.97
75	80.20		52.99		31.25		77.68		-8.93		-3.89		-7.81
76	44.35		-99.82		16.46		-64.95		-4.01		-9.75		3.68
77	96.67		-18.22		-76.79		-29.55		-6.14		-5.95		-8.87
78	66.09		-69.52		49.59		31.34		-8.29		-1.31		-6.63
79	15.69		90.53		-15.58		64.53		5.39		6.52		-5.94
80	73.95		-63.73		94.31		-72.51		-3.15		4.13		-1.87
81	24.53		-47.04		-34.78		15.81		-9.33		-2.65		0.16
82	53.68		-80.70		-53.33		83.40		2.21		-2.91		3.71
83	77.25		7.10		-32.58		56.92		-3.32		9.58		4.53
84	30.66		-41.36		-66.71		58.31		8.67		2.21		0.32
85	74.79		-74.67		22.36		-28.63		-4.19		3.41		8.68
86	72.36		60.72		-57.56		-51.59		-1.31		1.09		6.80
87	58.50		-49.73		-22.58		13.69		0.50		-1.73		-1.47
88	26.97		-88.91		36.84		62.68		2.72		-0.26		-3.07
89	35.98		-78.16		-52.86		39.70		6.01		5.97		-3.87
90	17.55		53.67		-34.00		-55.15		8.95		1.02		5.57
91	86.51		-96.09		-33.56		95.24		-3.35		5.44		-5.73
92	85.45		-15.28		-46.34		-52.17		7.30		-4.13		-4.04
93	36.60		36.93		55.32		-20.25		8.67		4.43		4.68
94	30.38		24.25		38.41		80.94		-1.95		-1.19		-7.03
95	35.59		78.18		-24.84		-84.66		9.43		8.24		-9.15
96	22.71		7.14		-11.76		80.99		2.43		-8.97		-4.13
97	96.84		-8.84		-52.84		-28.93		5.59		-8.35		-2.76
98	54.45		10.97		-63.12		63.06		1.85		2.52		-8.38
99	61.64		-11.48		-59.46		-53.95		2.67		2.15		-7.99
100	70.24		-88.01		63.81		61.96		4.07		-4.03		4.54
101	43.72		83.79		76.40		70.02		9.30		-9.56		-4.31
102	39.46		-36.44		48.98		-2.17		2.76		-7.81		-7.33
103	82.74		49.10		30.77		-9.22		6.72		8.13		-8.09
104	72.00		-10.47		0.68		48.43		3.44		-9.96		-7.24
105	67.28		62.41		-11.94		-48.95		0.49		4.87		-0.14
106	94.60		-18.25		51.72		-29.19		7.38		-6.36		-7.38
107	67.56		-93.00		-18.85		89.35		6.92		-0.11		-9.97
108	92.24		17.33		-0.82		59.58		-9.32		8.32		2.80
109	75.05		9.15		-52.33		-74.18		-9.23		-1.29		5.73
110	62.82		50.06		-15.83		60.17		9.28		6.42		3.79
111	56.21		97.78		49.47		-13.11		-2.48		-5.56		8.07
112	14.14		15.07		-28.43		-53.37		-1.92		1.72		6.88
113	34.04		-34.05		67.72		16.89		2.10		8.51		-1.16
114	45.92		-19.37		-60.23		3.53		9.37		-1.82		4.08
115	68.54		2.22		32.72		-80.05		9.33		-3.05		4.65
116	92.80		-25.73		43.81		21.29		-3.71		-3.93		5.89
117	19.95		23.34		-62.14		67.26		-8.63		7.86		-7.00
118	94.94		37.86		64.35		96.08		9.09		5.67		9.76
119	80.38		-49.28		-60.58		50.50		-8.41		-0.85		-0.14
120	15.60		-46.59		83.63		-64.46		6.17		5.22		-3.21
