Read 500 bodies from file dataset/bodies_500.csv

Initial state:
ID	Mass		Pos_X		Pos_Y		Pos_Z		Vel_X		Vel_Y		Vel_Z
-----------------------------------------------------------------------------------------
0	76.00		20.33		-8.17		82.64		-8.77		-2.45		6.78
1	37.08		33.93		2.66		0.00		3.32		1.26		9.30
2	43.57		-78.00		96.93		11.45		-5.15		-0.24		-0.03
3	90.45		25.05		90.78		-45.63		9.07		8.43		-9.80
4	97.78		-94.28		-65.61		8.26		8.06		-4.53		2.64
5	8.91		52.43		14.58		87.10		1.64		5.36		7.13
6	81.51		67.89		-22.03		48.88		0.62		-4.65		-6.27
7	88.97		-10.88		3.24		-52.75		9.26		3.58		7.44
8	20.52		-47.23		-17.93		-29.90		9.35		-5.53		-5.46
9	88.68		69.62		-44.71		11.60		-6.75		6.97		4.10
10	82.80		-26.62		76.84		5.57		0.48		-9.90		6.71
11	30.56		-72.35		48.88		-24.45		-3.27		9.88		-0.26
12	72.50		6.11		-92.92		-56.75		5.55		-5.66		-1.82
13	88.73		-19.95		0.70		96.15		-7.25		5.46		6.14
14	81.44		64.42		71.34		-81.52		9.98		-1.25		4.34
15	3.16		95.74		13.46		55.06		-5.25		5.55		-4.68
16	52.71		25.53		34.01		15.43		-3.93		7.02		5.41
17	34.23		-14.58		-44.58		91.78		6.60		0.91		-8.99
18	87.33		93.00		-26.39		23.95		3.97		7.92		-4.78
19	35.74		-84.08		-50.48		17.16		0.21		-1.34		7.62
20	64.54		-47.09		-45.87		-15.04		5.70		-5.17		1.98
21	11.44		-68.63		50.49		-44.42		7.89		-5.99		0.54
22	33.99		-10.72		0.73		-20.76		-3.08		2.45		8.80
23	85.23		-20.64		-84.59		25.87		1.51		1.11		5.48
24	92.08		65.94		34.04		-83.51		-9.40		6.71		-5.46
25	2.22		37.64		34.79		-94.88		4.30		-4.10		5.88
26	90.47		-42.78		70.55		-12.30		-3.82		1.82		-8.51
27	14.17		61.61		-24.84		33.06		9.10		-1.29		-4.48
28	63.96		-56.28		-47.51		-55.79		-2.51		-2.22		7.01
29	20.44		-30.83		70.54		44.75		-4.80		8.01		-1.94
30	47.78		4.00		6.38		-2.01		7.34		0.74		3.59
31	67.65		49.62		2.90		32.61		-3.31		3.37		-2.15
32	48.08		16.59		-60.08		-25.19		2.28		-3.68		-6.50
33	48.90		-15.86		89.51		-69.34		8.59		2.05		7.75
34	2.07		-60.82		-60.34		60.48		5.34		-5.96		8.15
35	85.86		-81.43		-96.39		48.67		-2.14		-4.40		2.69
